Date,File Name,Individual ,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Context
28/02/2020,Budongo VE 2020-02-28 Clip50012.MP4 ILA PH DR 2DB GT CMI 80.wav,ILA,0.086449,0.583529,0.077186,,,,,,,,,,,Traveling
28/02/2020,Budongo VE 2020-02-28 Clip50003.MP4 ILA PH DR DB GR AB 80.wav,ILA,0.097636,,,,,,,,,,,,,Resting
28/02/2020,Budongo VE 2020-02-28 Clip50005.MP4 ILA PH DR GR DB CAL 60.wav,ILA,0.057499,,,,,,,,,,,,,Resting
29/02/2020,Budongo VE 2020-02-29 Clip60003.MP4 ALF PH DR 9B GT CGO 50.wav,ALF,0.18474,0.10294,0.308819,0.05313,0.239086,0.78367,0.242406,0.182635,,,,,,Traveling
04/03/2020,Budongo VE 2020-03-04 Clip70006.MP4 TRS PH DR GT CMU 70.wav,TRS,0.132825,0.174333,0.112902,0.15939,0.185956,0.15607,0.169352,0.182635,0.166032,0.25901,0.293876,,,Traveling
04/03/2020,Budongo VE 2020-03-04 Clip70011.MP4 ILA PH DR GT CYA 50.wav,ILA,0.174105,0.051868,1.760469,0.051675,,,,,,,,,,Traveling
04/03/2020,Budongo VE 2020-03-04 Clip70009.MP4 TRS & ILA PH DR GT CMI 30.wav,TRS,0.15441,0.064752,,,,,,,,,,,,Traveling
04/03/2020,Budongo VE 2020-03-04 Clip70009.MP4 TRS & ILA PH DR GT CMI 30.wav,ILA,0.05313,,,,,,,,,,,,,Traveling
04/03/2020,Budongo VE 2020-03-04 Clip70017.MP4 MAC PH DR GT CYA 90?.wav,MAC,0.083585,,,,,,,,,,,,,Traveling
05/03/2020,Budongo VE 2020-03-05 Clip80017.MP4 LAF PH DR GT CYA 70.wav,LAF,0.258331,0.47401,0.078544,,,,,,,,,,,Traveling
06/03/2020,Budongo VE 2020-03-06 Clip90021.MP4 TRS PH DR GT-GR CMU 80.wav,TRS,0.120782,0.175994,0.043168,0.205879,0.139393,1.269976,0.063092,0.245727,0.249048,0.395156,0.202559,0.116222,0.373738,Resting
06/03/2020,Budongo VE 2020-03-06 Clip90025.MP4 TRS PH DR GR-GT CYA 80.wav,TRS,0.10294,0.073054,0.119543,0.063092,0.099619,0.05313,0.378552,0.690692,,,,,,Traveling
06/03/2020,Budongo VE 2020-03-06 Clip90037.MP4 TRS PH DR GT CYA 80.wav,TRS,0.264416,2.151772,0.351987,0.358629,,,,,,,,,,Traveling
06/03/2020,Budongo VE 2020-03-06 Clip00011.MP4 BEN PH-DR GR CYA 40.wav,BEN,0.157501,0.336727,0.331296,,,,,,,,,,,Resting
06/03/2020,Budongo VE 2020-03-06 Clip00021.MP4 ILA PH-DR GT TSI 50 .wav,ILA,0.073054,0.706258,0.097336,,,,,,,,,,,Traveling
06/03/2020,Budongo VE 2020-03-06 Clip00022.MP4 ILA PH-DR 2DB GT.wav,ILA,0.051529,0.691439,0.046883,,,,,,,,,,,Traveling
06/03/2020,Budongo VE 2020-03-06 Clip90020.MP4 TRS PH DR GT CMU 70.wav,TRS,0.31297,0.04981,0.327913,,,,,,,,,,,Traveling
06/03/2020,Budongo VE 2020-03-06 Clip90023.MP4 URS PH DR 2+1b  GT-GR CMU 80.wav,URS,0.069733,0.378552,,,,,,,,,,,,Resting
06/03/2020,Budongo VE 2020-03-06 Clip00006.MP4 BEN PH-DR 2+1B GT CYA 40.wav,BEN,0.081655,0.354886,,,,,,,,,,,,Traveling
06/03/2020,Budongo VE 2020-03-06 Clip00009.MP4 BEN AND FID PH-DR GR CYA 40.wav,BEN,0.375232,0.242406,,,,,,,,,,,,Resting
16/03/2020,Budongo VE 2020-03-16 Clip50022.MP4 ILA and SAM PH-DR GR CYA 60.wav,ILA,0.215841,1.899403,0.126184,,,,,,,,,,,Resting
16/03/2020,Budongo VE 2020-03-16 Clip50022.MP4 ILA and SAM PH-DR GR CYA 60.wav,SAM,0.129505,1.006152,,,,,,,,,,,,Resting
16/03/2020,Budongo VE 2020-03-16 Clip50039.MP4 ALF PH-DR db GT.wav,ALF,0.098987,,,,,,,,,,,,,Traveling
