drum_id,tree_id,ind_id,context,tree_all_id,species,n_buttresses,circumference,DBH_measure,DBH_calc,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015DR,015TR,MUG,display,P15_04,CYA,7,329,87,104.7239526,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016DR,016TR,ALF,resting,P16_01,CYA,10,,114,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016DR,016TR,ALF,resting,P16_02,CYA,2,,40,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
017DR,017TR,MUG,travel,P17_01,CYA,10,,115,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
017DR,017TR,MUG,travel,P17_02,CMI,5,150,56,47.74648293,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
017DR,017TR,MUG,travel,P17_03,CZE,4,72,22,22.91831181,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
017DR,017TR,MUG,travel,P17_04,CZE,3,77,24,24.50986124,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019DR,019TR,FID,arrival at feeding tree,P19_01,FE,5,119,36,37.87887646,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019DR,019TR,FID,arrival at feeding tree,P19_02,HG,9,172,46,54.74930042,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020DR,020TR,FID,arrival at feeding tree,P19_02,HG,9,172,46,54.74930042,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021DR,021TR,FID,arrival at feeding tree,P19_02,HG,9,172,46,54.74930042,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019DR,019TR,FID,arrival at feeding tree,P19_03,DD,1,105,30,33.42253805,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020DR,020TR,FID,arrival at feeding tree,P19_03,DD,1,105,30,33.42253805,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021DR,021TR,FID,arrival at feeding tree,P19_03,DD,1,105,30,33.42253805,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019DR,019TR,FID,arrival at feeding tree,P19_04,CAL,11,136,33,43.29014452,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020DR,020TR,FID,arrival at feeding tree,P19_04,CAL,11,136,33,43.29014452,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021DR,021TR,FID,arrival at feeding tree,P19_04,CAL,11,136,33,43.29014452,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
